start...
Epoch: 56 / 50000, Score: -500,  block: 26,  Reward: -191.7857 Cleared lines: 0, col: 0/0/0/0 
Epoch: 57 / 50000, Score: -500,  block: 16,  Reward: -41.3818 Cleared lines: 0, col: 0/0/0/0 
Epoch: 58 / 50000, Score: -500,  block: 20,  Reward: -181.7455 Cleared lines: 0, col: 0/0/0/0 
Epoch: 59 / 50000, Score: -500,  block: 19,  Reward: -172.0024 Cleared lines: 0, col: 0/0/0/0 
Epoch: 60 / 50000, Score: -500,  block: 27,  Reward: -145.0460 Cleared lines: 0, col: 0/0/0/0 
Epoch: 61 / 50000, Score: -500,  block: 26,  Reward: -200.0493 Cleared lines: 0, col: 0/0/0/0 
Epoch: 62 / 50000, Score: -500,  block: 21,  Reward: -62.7047 Cleared lines: 0, col: 0/0/0/0 
Epoch: 63 / 50000, Score: -500,  block: 22,  Reward: -91.0550 Cleared lines: 0, col: 0/0/0/0 
Epoch: 64 / 50000, Score: -500,  block: 20,  Reward: -103.7460 Cleared lines: 0, col: 0/0/0/0 
Epoch: 65 / 50000, Score: -500,  block: 30,  Reward: -196.4574 Cleared lines: 0, col: 0/0/0/0 
Epoch: 66 / 50000, Score: -400,  block: 29,  Reward: -166.2205 Cleared lines: 1, col: 1/0/0/0 
Epoch: 67 / 50000, Score: -500,  block: 28,  Reward: -156.0760 Cleared lines: 0, col: 0/0/0/0 
Epoch: 68 / 50000, Score: -500,  block: 20,  Reward: -153.7613 Cleared lines: 0, col: 0/0/0/0 
Epoch: 69 / 50000, Score: -500,  block: 20,  Reward: -96.8059 Cleared lines: 0, col: 0/0/0/0 
Epoch: 70 / 50000, Score: -500,  block: 25,  Reward: -150.6936 Cleared lines: 0, col: 0/0/0/0 
Epoch: 71 / 50000, Score: -500,  block: 27,  Reward: -163.0277 Cleared lines: 0, col: 0/0/0/0 
Epoch: 72 / 50000, Score: -500,  block: 26,  Reward: -195.3703 Cleared lines: 0, col: 0/0/0/0 
Epoch: 73 / 50000, Score: -500,  block: 19,  Reward: -154.8010 Cleared lines: 0, col: 0/0/0/0 
Epoch: 74 / 50000, Score: -500,  block: 26,  Reward: -178.9089 Cleared lines: 0, col: 0/0/0/0 
